歡迎蒞臨「三竹資訊網站」，為了尊重您個人的隱私權，因此本公司制訂了以下的隱私權保護宣告，請詳細閱讀下列內容：,[],0
 ,[],0
隱私權保護宣告適用範圍,[],0
以下的隱私權政策，適用於您在「三竹資訊網站」活動時，所涉及的個人資料蒐集、應用及保護，但不適用於與本網站功能連結之各機關網站。,[],0
凡經由「三竹資訊入口網站」連結之各網站，不論是由全國各政府機關獨立經營或是其他機關、團體、公司等，各網站均有其專屬之隱私權政策，「三竹資訊網站」不負任何連帶責任。,[],0
當您在這些「三竹資訊網站」以外之網站活動時，關於個人資料的保護，適用各該網站的隱私權政策。,[],0
 ,[],0
 ,[],0
個人資料之蒐集政策,[],0
使用者單純在「三竹資訊網站」的瀏覽及檔案下載行為，本網站並不會蒐集取得任何有關個人的身份資料。,[],0
如利用「三竹資訊網站」所提供的聯絡信箱或各項線上申請、諮詢服務(如：聯絡我們、申請試用、促銷活動…等)，本網站才可能事先要求使用者登錄個人資料，各承辦單位會依案件辦理需求請您提供姓名、聯絡電話、服務單位、E-mail等個人最新、最真實之資訊，以符合活動公正性、或是利於快速與使用者聯繫、提供最完善的服務。,['姓名'],0
本網站會記錄使用者上站的IP位址、上網時間、使用的瀏覽器以及在網站內所瀏覽點選的網頁紀錄等資料，惟這些資料僅供「三竹資訊網站」內部作網站流量和網路行為調查的總量分析，以利於提昇本網站的服務品質，且「三竹資訊網站」僅對全體使用者行為總和進行分析，並不會針對個別使用者進行分析或與其個別聯繫。,[],1
 ,[],0
 ,[],0
個人資料之應用及公開方式,[],0
本網站所取得的個人資料，非經事先說明或取得您的同意，或符合以下情況者始得為之：,[],0
甲、經由合法的途徑。,[],0
乙、保護或防衛相關個人的權利或所有權。,[],0
本網站不會將使用者之個人資料提供給第三人、或移作其他目的使用。,[],0
但有下列情形者除外：,[],0
1. 配合司法單位合法的調查。,[],0
2. 配合相關職權機關依職務需要之調查或使用。,[],0
3. 基於善意相信揭露為法律需要，或為維護和改進網站服務而用於管理。,[],0
本網站將依法令規定保護每一位使用者的個人資料，您可依法令規定選擇您的個人資料被運用的方式，並隨時與我們聯絡。,[],0
 ,[],0
 ,[],0
個人資料之保護措施,[],0
本網站之所有個人資料的網路傳遞皆採用SSL加密機制，以確保資料在傳輸過程中的隱密性及完整性，不會被第三者中途非法擷取。,[],0
,[],0
請妥善保護您的帳號密碼及或任何個人資料的機密安全，不要將任何個人資料，尤其是密碼提供給任何人。,[],0
在您使用完本網站所提供的各項服務功能後，務必記得登出使用以保護個人帳號不會遭到其他人濫用，若您是與他人共享電腦或使用公共電腦，切記要關閉瀏覽器視窗，以防止他人讀取您的個人資料或信件。,[],0
所有使用者行為皆應遵循國內、外法律規範，並且對於個人所屬帳號、密碼所發生之情事負全部責任。,[],0
,[],0
 ,[],0
 ,[],0
隱私權保護宣告之諮詢,[],0
如果您對以上條款有任何疑問，歡迎利用本網站諮詢服務與我們聯絡。,[],0
 ,[],0
台北市中山區新生北路二段39號11樓　代表號：(02)2563-9999 © 2012 三竹資訊股份有限公司 Mitake Inc. All rights reserved.,[],0
,[],0
網站地圖,[],0
|,[],0
隱私權條款,[],0
|,[],0
版權宣告,[],0
|,[],0
人才招募,[],0
|,[],0
意見信箱,[],0
|,[],0
電子發票,[],0
|,[],0
廣告刊登,[],0
"<img src=""/image/Top5000mark-2018.png"" style=""margin-left: 50px;margin-top: -5px"">",[],0
"<img src=""/image/Top5000mark-2017.png"" style=""margin-left: -12px;margin-top: -5px"">",[],0
"<img src=""/image/Top5000mark-2016.png"" style=""margin-left: -13px;margin-top: -5px"">",[],0
"<img src=""/image/Top5000mark-2015.png"" style=""margin-left:-15px;margin-top:3px"">",[],0
"<img src=""/image/Top5000mark-2014.png"">",[],0
 三竹社群專區,[],0
